Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume
2022-01-03,177.83,182.88,177.71,182.01,104701220,335.35,338.0,329.78,334.75,28918013,145.055,145.851,143.71275,144.9915,28678940,298.15,307.11,297.85,301.21,39240294,167.55,170.70350000000002,166.1605,170.4045,63869140
2022-01-04,182.63,182.94,179.12,179.7,99310438,334.83,335.2,326.12,329.01,32674306,145.39600000000002,146.48489,143.71625,144.3995,28399440,302.77,304.68,283.49,292.9,52715440,170.43800000000002,171.4,166.34949999999998,167.522,70725160
2022-01-05,179.61,180.17,174.64,174.92,94537602,325.86,326.07,315.98,316.38,40054327,144.42000000000002,144.49938,137.68800000000002,137.775,54618280,289.49,294.16,275.33,276.04,49806388,166.88299999999998,167.12625,164.357,164.357,64302720
2022-01-06,172.7,175.3,171.64,172.0,96903955,313.15,318.7,311.49,313.88,39646148,136.99849999999998,139.94,136.5585,137.7475,37347420,276.4,284.3799,270.65,281.78,45418637,163.4505,164.8,161.93721,163.254,51957780
2022-01-07,172.89,174.14,171.03,172.17,86709147,314.15,316.5,310.09,314.04,32720018,138.1455,138.4485,135.7665,137.017,29760560,281.41,284.22,270.57,272.47,40993851,163.839,165.24325,162.031,162.554,46605900
2022-01-10,169.08,172.5,168.17,172.19,106765552,309.485,314.72,304.69,314.27,44289467,135.078,138.8195,133.1645,138.6695,44408120,265.81,274.69,256.4384,274.0,59468095,160.5855,161.6615,156.30450000000002,161.486,87798300
2022-01-11,172.32,175.18,170.82,175.08,76138312,313.38,316.61,309.89,314.98,29386774,138.007,140.216,136.69225,139.736,28729700,273.225,280.65,268.39,278.17,40408929,161.5,166.35,160.7015,165.362,62805580
2022-01-12,176.12,177.18,174.82,175.53,74805173,319.67,323.41,317.08,318.27,34372217,141.15,142.60775,140.6945,141.4305,26112040,280.665,285.95,276.08,279.99,38341348,166.575,166.878,164.417,165.207,50029120
2022-01-13,175.78,176.62,171.79,172.19,84505760,320.4658,320.88,304.0,304.8,45365979,141.54000000000002,142.85,138.409,138.587,31436600,283.79,284.8,264.98,265.75,53886809,165.25050000000002,166.2215,161.091,161.214,52188300
2022-01-14,171.34,173.78,171.09,173.07,80440780,304.25,310.82,303.75,310.2,39846414,137.079,140.74200000000002,136.99849999999998,139.4805,29661280,263.0,271.969,262.1001,269.42,39583235,160.15,162.25,159.8005,162.138,45974860
2022-01-18,171.51,172.54,169.405,169.8,91168729,304.07,309.8,301.74,302.65,42434112,136.175,137.13150000000002,135.43824999999998,135.998,34888100,262.6,266.38,257.7,259.03,42530617,159.105,159.7345,157.6645,158.9175,67441440
2022-01-19,170.0,171.08,165.94,166.23,94814990,306.29,313.9093,302.7,303.33,45933855,136.52349999999998,137.9595,135.0155,135.1165,28647640,260.79,265.4317,250.52,250.67,48831451,158.762,159.25,156.25,156.299,53241920
2022-01-20,166.98,169.68,164.18,164.51,91420515,309.07,311.6494,301.14,301.6,35380675,136.25,137.626,132.96466,133.3075,29907140,253.04,255.7904,240.78,241.5,43518073,156.76600000000002,158.0,151.351,151.6675,71973320
2022-01-21,164.415,166.33,162.3,162.41,122848858,302.685,304.11,295.61,296.03,57984403,132.5935,134.86552999999998,130.0865,130.35150000000002,55651420,235.07,248.23,232.63,233.74,71895784,149.95,150.9,142.0704,142.643,163971440
2022-01-24,160.02,162.3,154.7,161.62,162706686,292.2,297.11,276.05,296.37,86035393,125.978,131.203,124.5,130.804,76694240,223.3,233.8,208.88,233.72,91581063,139.0,144.945,135.352,144.544,156044740
2022-01-25,158.98,162.76,157.02,159.78,115798367,291.52,294.99,285.17,288.49,72848638,128.74,129.399,126.50050000000002,126.93499999999999,46960560,225.46,229.43,220.0,223.24,66461636,142.2425,143.6,138.145,139.986,90824660
2022-01-26,163.5,164.3894,157.82,159.69,108275308,307.985,308.5,293.03,296.71,90428853,131.119,133.0,127.14200000000001,129.233,49129500,232.4,240.57,223.0,227.72,75595873,144.75,145.18475,137.3185,138.8725,95601700
2022-01-27,162.45,163.84,158.28,159.22,121954638,302.66,307.3,297.93,299.84,53481317,131.304,132.65225,128.93229,129.005,32018780,235.68,239.95,216.75,219.44,57335272,140.8,144.24349999999998,139.35,139.6375,77515800
2022-01-28,165.71,170.35,162.8,170.33,179935660,300.23,308.48,294.45,308.26,49743698,129.659,133.3565,128.48499999999999,133.351,34361480,220.1215,228.58,212.96,228.4,54377425,140.8605,143.998,137.92925,143.978,74391980
2022-01-31,170.16,175.0,169.51,174.78,115541590,308.95,312.38,306.37,310.98,46444536,134.16199999999998,135.473,132.2095,135.3035,39986000,231.82,245.09,230.52,244.86,56467968,144.75,150.3605,144.30051,149.5735,78307440
2022-02-01,174.01,174.84,172.31,174.61,86213911,310.41,310.63,305.1293,308.76,40950396,137.59449999999998,137.79275,134.36849999999998,137.644,68643640,251.04,251.45,238.9001,246.38,51892517,150.0,151.708,147.62774,151.1935,59219840
2022-02-02,174.745,175.88,173.33,175.84,84914256,309.63,315.12,308.88,313.46,36635989,151.25,151.54658,145.52251,148.0,123199220,257.94,258.17,245.5301,252.42,54341941,155.05043,155.075,148.86359,150.6125,87329760
2022-02-03,174.48,176.2399,172.12,172.9,89418074,309.49,311.23,299.96,301.25,43729972,145.7055,149.675,142.66532,143.09,71517220,244.58,250.77,237.8,239.48,41017778,141.7375,144.2475,138.333,138.8455,225531360
2022-02-04,171.68,174.1,170.68,172.39,82465400,300.21,308.8,299.97,305.94,35096488,143.44464,144.875,140.51500000000001,143.293,57998220,239.72,246.35,236.32,243.19,35482850,155.6065,161.2,150.608,157.6395,253455860
2022-02-07,172.86,173.9458,170.95,171.66,77251204,306.17,307.84,299.9,300.95,28533286,144.25,144.25,138.9,139.201,54973300,243.72,251.82,242.02,247.28,37686750,158.52,162.69075,157.25,157.9355,102624380
2022-02-08,171.73,175.35,171.43,174.83,74829217,301.25,305.561,299.95,304.56,32421188,139.0265,140.0,137.01385,139.399,54283600,243.59,252.3,239.8,251.08,41035864,156.75050000000002,161.7925,155.5505,161.4135,76040360
2022-02-09,176.05,176.65,174.9,176.28,71285038,309.865,311.93,307.39,311.21,31284671,140.9635,142.52425,140.18703,141.592,40143880,256.22,267.25,253.53,267.05,52428166,162.87349999999998,163.8345,160.25,161.1895,68785600
2022-02-10,174.14,175.48,171.55,172.12,90865899,304.04,309.12,300.7,302.38,45386199,139.70350000000002,141.4845,137.957,138.62,39330660,259.95,269.2499,256.0,258.24,51319972,158.35,160.7165,157.75,159.0035,68268120
2022-02-11,172.33,173.08,168.04,168.64,98670687,303.19,304.29,294.22,295.04,39175620,138.6,139.15625,133.4,134.2825,39958340,259.16,261.52,237.73,239.49,60547198,158.13451,159.0,152.73375000000001,153.2935,77100440
2022-02-14,167.37,169.58,166.56,168.88,86185530,293.77,296.76,291.35,295.0,36359487,133.25650000000002,136.3,133.25650000000002,135.526,34301080,239.34,248.75,237.55,242.67,44042443,151.751,158.44832,151.65,155.167,83230700
2022-02-15,170.97,172.95,170.25,172.79,64286320,300.008,300.8,297.02,300.47,27379488,137.57049999999998,138.1085,135.8215,136.6085,26711260,249.49,265.45,247.84,264.95,70175280,157.6055,158.007,154.6375,156.5105,56970660
2022-02-16,171.85,173.34,170.05,172.55,61177398,298.365,300.87,293.68,299.5,29982121,136.6465,138.08599999999998,134.92374999999998,137.738,25021300,262.59,265.82,255.52,265.11,73267633,155.7905,158.834,154.7345,158.1005,52704280
2022-02-17,171.03,171.91,168.47,168.88,69589344,296.36,296.8,290.0,290.73,32461580,136.243,137.1135,132.4785,132.53900000000002,38949500,256.3,257.85,241.65,245.07,81059508,158.14600000000002,160.34875,154.5,154.6525,64032500
2022-02-18,169.82,170.5413,166.19,167.3,82772674,293.05,293.86,286.305,287.93,34264008,133.467,134.07,130.1965,130.403,45619440,246.675,249.86,231.0,236.42,76125491,155.49949999999998,155.49949999999998,150.893,152.60150000000002,63604100
2022-02-22,164.98,166.69,162.15,164.32,91162758,285.0,291.54,284.5,287.72,41736117,129.83809000000002,132.18025,128.22325,129.8135,44990740,230.35,240.6399,230.0,233.9,63342244,150.4785,152.98250000000002,148.4855,150.1975,66128240
2022-02-23,165.54,166.15,159.75,160.07,90009247,290.18,291.7,280.1,280.27,37811167,131.64849999999998,132.051,127.5275,127.58800000000001,32786020,238.02,241.5499,223.01,223.87,56651077,151.65050000000002,151.763,144.651,144.827,64243560
2022-02-24,152.58,162.85,152.0,162.74,141147540,272.51,295.16,271.52,294.59,56989686,124.95325,133.0,124.95325,132.691,54455080,210.15,238.0,208.9,237.48,73580063,139.8375,151.749,139.5,151.358,100785760
2022-02-25,163.84,165.12,160.8738,164.85,91974222,295.14,297.63,291.655,297.31,32546721,133.552,135.2715,131.75150000000002,134.4595,36405980,237.21,242.17,233.81,241.57,52886551,150.55,153.99,149.2135,153.7885,62395360
2022-02-28,163.06,165.42,162.43,165.12,95056629,294.31,299.14,293.0,298.79,34627457,133.05,135.75150000000002,132.59224999999998,135.057,38864420,239.92,246.65,237.0701,243.85,47731861,152.425,154.45,150.85,153.56300000000002,57683420
2022-03-01,164.695,166.6,161.97,163.2,83474425,296.4,299.97,292.15,294.95,31217778,134.8785,136.2555,133.2185,134.0615,26495360,242.91,243.77,231.32,234.77,41205598,152.73250000000002,154.099,149.977,151.142,44873580
2022-03-02,164.39,167.36,162.95,166.56,79724750,295.36,301.47,293.698,300.19,31873007,134.628,135.2625,133.07154,134.5715,23519800,237.56,244.09,234.15,242.2,38964185,150.849,152.99949999999998,148.75,152.0525,47334720
2022-03-03,168.47,168.91,165.55,166.23,76678441,302.89,303.13,294.05,295.92,27314469,136.01,136.4395,133.02550000000002,133.8995,24603240,242.615,243.2599,234.69,237.14,36509504,153.5315,153.929,146.856,147.89849999999998,65197200
2022-03-04,164.49,165.55,162.1,163.17,83819592,294.29,295.66,287.165,289.86,32369655,132.9275,133.85150000000002,130.3375,131.9065,30450640,233.84,236.8,224.82,229.36,43201070,147.159,147.85,143.807,145.64100000000002,60983120
2022-03-07,163.36,165.02,159.04,159.3,96418845,288.53,289.69,278.53,278.91,43157178,131.488,131.73499999999999,126.295,126.3785,45112940,228.17,230.33,213.3,213.52,45082089,145.4435,146.09449999999998,137.41649999999998,137.453,86933860
2022-03-08,158.82,162.88,155.8,157.44,131148280,277.8,283.96,270.0,275.85,48159475,126.25,131.25,125.67469000000001,127.1045,40427100,213.09,223.7299,206.5,215.14,55746719,136.6835,140.6995,133.5725,136.0145,91662580
2022-03-09,161.475,163.41,159.41,162.95,91454905,283.44,289.6,280.78,288.5,35204480,131.25,133.7355,129.90050000000002,133.42000000000002,37025400,223.87,232.2,222.47,230.14,49274195,139.5,140.25,136.828,139.279,82656660
2022-03-10,160.2,160.39,155.98,158.52,105342033,283.02,286.6,280.58,285.59,30628012,131.26600000000002,133.27175,130.9125,132.42950000000002,27101400,225.31,227.88,218.82,226.58,42806565,145.685,148.67425,143.978,146.8175,135062900
2022-03-11,158.93,159.28,154.5,154.73,96970102,287.96,289.51,279.43,280.07,27209330,133.4885,133.7955,129.63150000000002,129.8705,31526440,230.22,231.45,220.46,221.0,36720857,149.5745,149.675,145.369,145.5245,68900560
2022-03-14,151.45,154.12,150.1,150.62,108732111,280.34,285.3992,275.82,276.44,30660747,130.25,130.409,125.275,125.951,38811260,218.69,222.62,211.5901,213.3,38535424,145.981,147.45,140.884,141.853,74086100
2022-03-15,150.9,155.57,150.38,155.09,92964302,280.35,287.82,278.725,287.15,34245085,126.976,129.8545,125.72049999999999,129.198,30919520,215.18,230.38,213.2201,229.73,49199569,142.85,147.98499999999999,142.0,147.3665,75584600
2022-03-16,157.05,160.0,154.46,159.59,102300157,289.11,294.57,283.2,294.39,37826329,130.733,133.333,128.7345,133.28050000000002,35576980,235.0,245.97,231.72,244.96,67142174,148.5,153.15,147.3535,153.10399999999998,84957680
2022-03-17,158.61,161.0,157.63,160.62,75615376,293.29,295.61,289.37,295.22,30816633,133.149,134.0804,132.185,133.839,28263920,241.2,248.42,239.06,247.66,47194119,152.6405,157.49849999999998,152.14000000000001,157.239,72934840
2022-03-18,160.51,164.48,159.76,163.98,123511692,295.37,301.0,292.73,300.43,43390625,133.4245,136.244,132.25825,136.12550000000002,44566900,247.99,265.6899,246.24,264.53,73071856,156.81300000000002,161.594,156.011,161.25050000000002,102962760
2022-03-21,163.51,166.35,163.015,165.38,95811352,298.89,300.14,294.9,299.16,28351245,136.1635,137.05,134.09224999999998,136.10150000000002,26831680,265.07,271.5199,259.67,267.34,59172708,161.12075,163.084,159.553,161.4915,66537520
2022-03-22,165.51,169.42,164.91,168.82,81532007,299.8,305.0,298.77,304.06,27599689,136.10150000000002,141.05,136.10150000000002,139.868,35495540,267.27,272.38,260.72,265.24,54700710,161.8055,166.167,161.699,164.889,64086120
2022-03-23,167.99,172.64,167.65,170.21,98062674,300.51,303.23,297.7201,299.49,25715377,138.70250000000001,139.5885,137.83499999999998,138.27550000000002,25153400,261.26,266.115,255.7501,256.34,50211986,163.70499999999998,166.37,162.68699999999998,163.408,55811860
2022-03-24,171.06,174.14,170.21,174.07,90131418,299.14,304.2,298.315,304.1,24484456,139.2,141.61875,137.75050000000002,141.572,26396560,261.66,283.1999,259.07,281.5,87737914,163.74949999999998,164.11849999999998,160.05,163.6495,56798060
2022-03-25,173.88,175.28,172.75,174.72,80546156,305.23,305.5,299.2855,303.68,22566453,141.916,142.035,139.7375,141.673,24143080,278.86,283.58,272.71,276.92,57901618,164.0,165.36849999999998,162.25,164.77349999999998,49085500
2022-03-28,172.17,175.73,172.0,175.6,90371916,304.33,310.8,304.33,310.7,29578188,140.90050000000002,142.0025,139.81125,141.4555,35049260,277.555,282.5,272.06,282.19,42549392,164.975,169.0375,164.9,168.9905,59853820
2022-03-29,176.69,179.01,176.34,178.96,100589440,313.91,315.82,309.05,315.41,30393403,142.64749999999998,143.7935,142.03825,142.5055,34317020,286.945,289.46,279.8,286.56,48898440,170.384,170.8315,167.86849999999998,169.315,66153600
2022-03-30,178.55,179.61,176.7,177.77,92633154,313.76,315.95,311.58,313.86,28163555,142.45999999999998,142.72032,141.6,141.9385,19884760,283.04,284.955,275.03,276.9,46348713,168.5095,168.9505,165.5,166.301,56167260
2022-03-31,177.84,178.03,174.4,174.61,103049285,313.9,315.14,307.89,308.31,33422070,142.053,142.10775,139.0245,139.0675,37524720,277.82,282.48,272.7,272.86,52344022,166.44475,166.495,162.95350000000002,162.9975,59965780
2022-04-01,174.03,174.88,171.94,174.31,78751328,309.37,310.13,305.54,309.42,27110529,139.5,140.47075,138.3075,140.15050000000002,25941440,273.75,274.96,262.67,267.12,51723511,164.1495,165.827,162.3195,163.56,57089500
2022-04-04,174.57,178.49,174.44,178.44,76545983,310.09,315.11,309.71,314.97,24335868,140.3585,143.712,140.3105,142.9715,25970840,267.28,275.58,266.13,273.6,39770782,164.125,168.3945,163.2055,168.3465,50007960
2022-04-05,177.5,178.3,174.415,175.06,73401786,313.27,314.865,309.87,310.88,23156719,142.869,142.9905,140.3825,140.591,21418120,272.54,273.19,258.2,259.31,43661473,167.7415,168.1105,163.26601,164.055,53728560
2022-04-06,172.36,173.63,170.13,171.83,89058782,305.19,307.0,296.71,299.5,40110372,138.75,139.3605,135.517,136.548,32468480,249.34,253.0,240.03,244.07,70383256,161.65050000000002,162.2,157.2545,158.756,79055760
2022-04-07,171.16,173.36,169.85,172.14,77594650,296.66,303.65,296.35,301.37,31411155,136.01,137.1645,134.2274,135.8885,26233600,244.41,247.22,234.78,242.08,55799236,158.4,160.079,154.5115,157.7845,68136780
2022-04-08,171.78,171.78,169.2,170.09,76575508,300.44,301.12,296.28,296.97,24361917,135.58350000000002,135.67000000000002,132.9655,133.2875,25142800,239.17,239.23,230.6201,231.19,52478064,156.75,157.36849999999998,154.23075,154.4605,46001660
2022-04-11,168.71,169.03,165.5,165.75,72246706,291.79,292.61,285.0,285.26,34569264,131.8235,132.0925,128.6685,128.8235,36883060,222.14,223.1994,216.6,219.17,57520684,152.71300000000002,154.1365,150.5345,151.122,52112340
2022-04-12,168.02,169.87,166.64,167.66,79265181,289.235,290.739,280.49,282.06,30966721,131.6,131.6,126.78898999999998,127.7145,32710700,225.37,227.25,212.8204,215.04,66225807,153.6925,155.099,150.38299999999998,150.7875,55177440
2022-04-13,167.39,171.04,166.77,170.4,70618925,282.73,288.58,281.3,287.62,21907176,128.0,130.334,127.74125,129.894,27927240,217.28,225.0,214.55,222.03,51694344,150.0185,156.025,149.6,155.541,53390880
2022-04-14,170.62,171.27,165.04,165.29,75329376,288.09,288.305,279.32,279.83,28221607,130.4795,130.4795,126.601,126.72999999999999,31597980,225.05,227.77,211.63,212.58,56909685,155.39000000000001,155.897,151.47175,151.7065,51598140
2022-04-18,163.92,166.5984,163.57,165.07,69023941,278.91,282.46,278.34,280.52,20778000,127.0,128.2125,126.18199999999999,127.6765,20808660,212.0,220.88,210.79,217.83,52570061,151.52349999999998,154.0395,150.25050000000002,152.785,46513520
2022-04-19,165.02,167.82,163.91,167.4,67723833,279.38,286.17,278.41,285.3,22297720,127.69149999999999,130.333,126.99949999999998,130.009,26489760,217.2,223.73,213.14,221.98,51278058,152.0295,158.649,151.5505,158.1155,54926420
2022-04-20,168.76,168.88,166.1,167.23,67929814,289.4,289.7,285.3702,286.36,22906667,130.892,131.399,127.5,128.04000000000002,31695460,225.171,226.7037,212.0,214.82,46897444,157.60250000000002,157.60250000000002,153.6035,153.998,59630020
2022-04-21,168.91,171.53,165.91,166.42,87227768,288.58,293.3,280.06,280.81,29454587,129.25,130.0985,124.52650000000001,124.8145,36445160,217.0915,223.92,200.0,201.83,65620944,154.714,156.738,147.5895,148.296,63969320
2022-04-22,166.46,167.8699,161.5,161.79,84882424,281.68,283.2,273.38,274.03,29405798,125.0,125.402,118.925,119.63550000000001,56883720,203.03,204.86,195.0,195.15,62471343,148.25,149.615,143.69751000000002,144.35,73078580
2022-04-25,161.12,163.17,158.46,162.88,96046376,273.29,281.11,270.77,280.72,35678852,119.101,123.2775,118.511,123.074,46128260,192.02,199.45,190.96,199.02,64156561,144.023,146.2215,142.30655,146.074,61874980
